station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature,RPI_unit,DO(Electrode)_unit,BOD5_unit,SS_unit,NH3-N_unit,pH_unit,temperature_unit,,species1,species2,species3
Upper Huang River Bridge,25.17920888888889,121.58227305555556,Huang River,1.00,7.8,1.0,8.4,0.11,2.37,25.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Cyprinus carpio,Pelophylax fukienensis,Zhangixalus taipeianus
Huang River Bridge,25.226953,121.630624,Huang River,3.50,7.3,10.8,97.1,0.19,4.00,28.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Pelophylax fukienensis,Zhangixalus prasinatus
No. 40 Bridge,25.227357,121.630912,Huang River,4.50,6.6,12.7,131,0.17,4.62,28.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus prasinatus,Zhangixalus taipeianus
Jhongshou Bridge.,25.051144,121.500209,Danshuei River,6.25,4.6,5.0,167,1.41,7.42,26.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus prasinatus,Zhangixalus taipeianus
Chongyang Bridge,25.08417397222222,121.50279694444444,Danshuei River,4.00,3.3,2.7,35.6,1.47,7.22,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Cyprinus carpio,Zhangixalus taipeianus
Gwandu Bridge,25.124816944444444,121.45723694444445,Danshuei River,5.00,1.7,2.2,47.0,1.56,7.52,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Hylarana taipehensis,Zhangixalus taipeianus
Danshuei River Mouth,25.170901111111117,121.422745,Danshuei River,3.25,3.7,<1.0,37.8,0.56,7.64,28.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Zhangixalus taipeianus,Cyprinus carpio
Dahan Bridge,24.88467397222222,121.283827,Danshuei River,2.25,8.4,<1.0,57.2,0.04,7.77,25.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus taipeianus,Rana longicrus
Bansin Intake,24.930705,121.341425,Danshuei River,1.50,7.6,1.4,28.9,0.04,8.02,26.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Zhangixalus prasinatus,Zhangixalus aurantiventris
Sanying Bridge,24.944761111111116,121.35322305555556,Danshuei River,1.50,8.1,1.5,24.2,0.09,7.26,27.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Hylarana taipehensis,Zhangixalus taipeianus
Fuchou Bridge,24.99507305555556,121.43624611111112,Danshuei River,2.25,6.9,1.5,57.2,0.47,7.64,25.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Cyprinus carpio,Zhangixalus prasinatus,Hylarana taipehensis
Cinhi Bridge,25.03286611111111,121.45462,Danshuei River,4.25,6.2,2.5,130,0.95,7.24,26.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus prasinatus,Rana longicrus
Hochih Weir,24.824188888888887,121.251659,Danshuei River,1.50,5.9,<1.0,20.0,0.01,7.26,24.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus taipeianus,Rana longicrus
Hocungein Intake,24.96822222222222,121.40461111111112,Danshuei River,1.50,8.1,1.1,32.6,0.36,7.87,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Hylarana taipehensis,Pelophylax fukienensis
SingSin Bridge,24.89563888888889,121.37377694444444,Danshuei River,1.00,8.8,<1.0,3.8,0.03,8.23,25.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Zhangixalus prasinatus,Rana longicrus
Sansia Bridge,24.934632,121.374865,Danshuei River,1.00,8.0,1.9,12.6,0.36,7.87,28.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus aurantiventris,Zhangixalus taipeianus
Beetan Bridge,24.96092388888889,121.535815,Danshuei River,1.00,8.7,<1.0,5.2,0.04,7.28,25.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Hylarana taipehensis,Zhangixalus arvalis
Jhongjheng Bridge,25.021306944444444,121.51423305555556,Danshuei River,1.50,6.6,2.0,21.3,0.37,7.35,24.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus taipeianus,Pelophylax fukienensis
Huajhong Bridge,25.01021305555556,121.49627,Danshuei River,2.00,6.0,2.7,19.5,0.51,7.08,24.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Cyprinus carpio,Pelophylax fukienensis,Zhangixalus taipeianus
Huajhian Bridge,25.034898,121.483509,Danshuei River,2.50,4.8,2.1,29.0,0.92,7.24,26.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Zhangixalus prasinatus,Rana longicrus
Chiuche Weir,24.91233111111111,121.547495,Danshuei River,1.00,8.4,1.0,4.7,0.02,7.35,,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus aurantiventris,Hylarana taipehensis
Chintan Weir,24.94144111111111,121.54521388888888,Danshuei River,1.00,8.8,<1.0,5.2,0.03,7.14,25.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus aurantiventris,Rana longicrus
Chintan Weir Intake,24.925410000000003,121.533135,Danshuei River,1.00,8.5,<1.0,3.4,0.03,7.11,24.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus arvalis,Zhangixalus aurantiventris
Ciulan Bridge,24.988715000000003,121.52857305555555,Danshuei River,1.00,7.8,1.7,19.2,0.08,7.04,25.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus prasinatus,Pelophylax fukienensis
Shenkeng Jhongjheng Bridge,25.001205833333334,121.62143972222222,Danshuei River,1.50,8.2,1.2,20.2,0.08,7.50,26.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Rana longicrus,Zhangixalus taipeianus
Wanshou Bridge,24.992053055555555,121.572045,Danshuei River,2.00,6.9,4.9,37.9,0.19,7.35,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Hylarana taipehensis,Cyprinus carpio
Bao Bridge,24.97926611111111,121.55326805555556,Danshuei River,1.50,6.6,2.4,39.9,0.20,7.38,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Cyprinus carpio,Zhangixalus taipeianus
Fonlin Bridge,25.010776944444444,121.64198,Danshuei River,1.00,8.6,1.5,16.9,0.02,7.26,26.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus prasinatus,Rana longicrus
Jieshou Bridge,25.10640388888889,121.8054,Danshuei River,1.00,8.2,1.3,9.6,0.35,7.62,28.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus taipeianus,Zhangixalus prasinatus
Nungen Bridge,25.102836111111117,121.74162888888888,Danshuei River,1.00,7.4,2.5,12.2,0.28,7.42,28.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Zhangixalus taipeianus,
Liuho Bridge,25.09477111111111,121.70375888888888,Danshuei River,3.25,4.8,3.2,18.3,1.36,7.22,28.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Zhangixalus prasinatus,
Shihgein Bridge,25.078780833333333,121.69333194444444,Danshuei River,3.25,5.0,4.2,18.4,1.03,7.32,30.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Cyprinus carpio,Zhangixalus prasinatus,Zhangixalus taipeianus
Jiangpei Bridge,25.068573,121.65564,Danshuei River,3.00,6.4,3.6,31.6,0.94,7.48,30.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Cyprinus carpio,Pelophylax fukienensis
Minchenda Bridge,25.063466944444446,121.56951611111111,Danshuei River,4.50,1.2,2.5,16.3,1.19,7.16,28.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus prasinatus,Pelophylax fukienensis
Dajhih Bridge,25.076458055555555,121.54445388888888,Danshuei River,4.50,1.0,1.9,16.0,1.19,7.05,28.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Pelophylax fukienensis,Cyprinus carpio
Bialin Bridge,25.088435,121.51372583333334,Danshuei River,4.50,0.4,1.8,9.0,1.75,7.08,28.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Cyprinus carpio,Hylarana taipehensis,Pelophylax fukienensis
Diolin Station,25.058333333333334,121.81991666666666,Danshuei River,1.00,8.0,<1.0,4.9,0.02,7.52,26.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Zhangixalus taipeianus,Tridacna maxima
Hodon Station,25.08815388888889,121.82867,Danshuei River,1.00,8.1,1.1,4.8,0.02,7.82,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Tridacna maxima,Zhangixalus taipeianus,Zhangixalus prasinatus
Nanhooda Bridge,25.063235,121.6120211111111,Danshuei River,4.50,1.2,2.6,11.4,1.32,7.14,28.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Cyprinus carpio,Rana longicrus,Pelophylax fukienensis
Chenmei Bridge,25.05366888888889,121.583295,Danshuei River,4.50,1.6,2.0,18.2,1.12,7.06,28.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus prasinatus,Hylarana taipehensis
Jhongsan Bridge,25.073886944444443,121.52511388888888,Danshuei River,4.50,0.8,2.3,9.2,1.26,7.05,28.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Pelophylax fukienensis,Hylarana taipehensis
Geolooda Bridge,25.01875397222222,121.36234805555554,Nankan River,4.50,6.8,6.7,6.4,9.55,7.79,28.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Rana longicrus,Zhangixalus taipeianus
Gueishan Bridge,24.997021944444445,121.33995,Nankan River,5.00,6.3,5.0,4.6,3.52,7.60,28.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus prasinatus,Zhangixalus aurantiventris
Tianju Bridge,25.00702777777778,121.3141111111111,Nankan River,4.00,6.4,7.8,10.4,2.75,7.68,30.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Rana longicrus,Zhangixalus taipeianus
Dakwai River Bridge,25.011648055555558,121.30911388888887,Nankan River,5.75,4.5,12.8,9.8,5.26,7.64,30.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Pelophylax fukienensis,Zhangixalus taipeianus
Nankan River Bridge,25.05573305555556,121.28095694444444,Nankan River,5.00,5.6,10.5,19.0,7.45,7.48,30.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Zhangixalus taipeianus,Rana longicrus
Tianliao Bridge,25.10213888888889,121.25077777777778,Nankan River,4.00,5.5,6.8,13.5,2.69,7.83,30.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus prasinatus,
Dapoo Bridge,25.02508611111111,121.3692479722222,Nankan River,5.75,3.8,12.6,5.5,8.68,7.57,28.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus aurantiventris,Zhangixalus taipeianus
Shinshing Road Bridge,24.94183333333333,121.27686111111112,Nankan River,3.25,5.9,3.4,13.1,1.30,7.66,28.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus prasinatus,Rana longicrus
Hontia Bridge,24.98849638888889,121.28371027777776,Nankan River,4.00,5.8,6.5,7.6,2.67,7.73,28.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus prasinatus,Zhangixalus taipeianus
Singein Bridge,25.009731111111112,121.28264305555555,Nankan River,5.00,5.1,7.6,8.2,3.95,7.48,29.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus prasinatus,Zhangixalus taipeianus
Jiadong River Bridge,25.034333333333336,121.27752777777778,Nankan River,4.50,5.2,6.4,38.3,2.66,7.48,29.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Rana longicrus,Zhangixalus taipeianus
Meidooli Bridge,24.87427,121.21329111111112,Laojiie River,3.75,12.3,4.9,6.7,4.04,7.13,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Rana longicrus,Pelophylax fukienensis
Peishih Bridge,24.92482888888889,121.21244194444444,Laojiie River,5.00,6.3,6.0,5.1,4.20,7.30,28.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Rana longicrus,Rana sauteri
Songwu,24.943376944444445,121.210095,Laojiie River,3.50,6.5,6.0,7.1,2.42,7.59,29.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Rana longicrus,Zhangixalus prasinatus
Shinpoo Bridge,25.004955555555554,121.20934472222224,Laojiie River,2.00,6.9,3.7,7.4,0.86,7.56,30.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus prasinatus,Rana longicrus
Jhongjheng Bridge,25.06375805555556,121.19639694444444,Laojiie River,1.50,8.0,3.1,8.8,0.26,8.62,31.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus prasinatus,Hylarana taipehensis
Shiutsugan No.1,25.07744361111111,121.17761194444444,Laojiie River,2.00,7.4,3.3,10.5,0.68,7.60,28.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus prasinatus,Hylarana taipehensis
Pingjhen 1st Bridge,24.92099305555556,121.19616111111112,Laojiie River,2.00,7.8,3.3,8.0,0.55,7.62,29.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Rana sauteri,Hylarana taipehensis
Yunin no. 1 Bridge,24.903113055555558,121.15162297222224,Shezih River,1.00,7.2,1.8,3.7,0.08,7.48,27.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Hylarana taipehensis,Rana longicrus
Yuemei Bridge,24.918754972222224,121.14627694444444,Shezih River,5.00,5.7,9.5,5.5,9.12,7.59,28.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Rana longicrus,Rana sauteri
Laofandian Bridge,24.93578997222222,121.1237411111111,Shezih River,4.50,7.2,5.5,14.5,3.68,7.84,29.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Silurus asotus,Rana longicrus
Shezih Bridge,24.960846944444445,121.09404694444444,Shezih River,1.00,7.8,1.9,9.4,0.13,8.03,29.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus taipeianus,Silurus asotus
Bendzugon Bridge,24.982991944444443,121.02730611111112,Shezih River,3.25,6.3,7.3,10.2,0.98,8.15,31.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Silurus asotus,Zhangixalus taipeianus
Yuanben Bridge,24.94394388888889,121.08813305555556,Fusing River,2.00,7.2,3.8,46.2,0.28,7.78,29.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Rana longicrus,Silurus asotus
Sinhoo Bridge,24.94344611111111,121.04595694444444,Fusing River,2.00,7.7,3.6,13.4,0.63,7.87,29.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Silurus asotus,Rana longicrus,Hylarana taipehensis
Shenkeng Bridge,24.939901111111112,121.00271597222222,Fusing River,1.50,7.4,3.4,10.8,0.19,7.89,30.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Silurus asotus,Rana longicrus
Dong Xing Bridge,24.909138888888886,121.01031,Sinfong River,1.00,8.8,2.6,7.7,0.19,7.38,31.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Rana longicrus,Silurus asotus
Zhong Shan Bridge (Sinfo,24.906666666666663,120.99556472222224,Sinfong River,1.50,7.8,3.5,10.1,0.50,7.96,32.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Silurus asotus,Zhangixalus taipeianus
Wuming Bridge,24.86775,120.99561111111112,Sinfong River,5.00,5.6,8.2,11.7,10.3,7.16,30.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Silurus asotus,Pelophylax fukienensis
Shanchee Bridge,24.869095972222222,120.99555305555556,Sinfong River,5.00,5.6,7.9,16.2,10.8,7.21,30.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Hylarana taipehensis,Zhangixalus taipeianus
Siangbee Bridge,24.887735,120.98646694444444,Sinfong River,4.50,6.5,5.5,6.5,8.19,7.63,32.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Silurus asotus,Pelophylax fukienensis,Hylarana taipehensis
Honmoa Harbor,24.9089675,120.97195361111112,Sinfong River,2.25,7.2,2.5,16.0,1.85,7.64,30.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Rana longicrus,Silurus asotus
Doochunda Bridge,24.785555,121.17565305555556,Fongshan River,1.00,8.4,1.2,4.0,0.04,7.99,26.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus taipeianus,Pelophylax fukienensis
Sinpooda Bridge,24.825681111111116,121.06568694444444,Fongshan River,1.00,8.0,1.0,3.8,0.04,8.04,27.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Rana longicrus,Pelophylax fukienensis
Fongshan River Bridge,24.852576000000003,121.00480194444444,Fongshan River,1.00,8.4,1.8,7.5,0.22,8.02,28.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Pelophylax fukienensis,Silurus asotus
Fonggonda Bridge,24.85891666666667,120.94975472222222,Fongshan River,2.00,7.1,1.8,22.5,0.62,7.65,30.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Pelophylax fukienensis,
Sansheng Bridge,24.832556944444445,121.0975461111111,Fongshan River,1.00,7.7,2.3,6.2,0.08,7.66,27.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Hylarana taipehensis,Rana longicrus
Jhulinda Bridge,24.74768388888889,121.09359611111113,Toucian River,1.00,9.2,<1.0,1.5,0.01,8.55,29.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Pelophylax fukienensis,Rana longicrus
Jhongjhengda Bridge,24.785687972222224,121.0576161111111,Toucian River,1.00,8.4,1.1,6.4,0.03,8.72,29.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus taipeianus,Hylarana taipehensis
Toucian River Bridge,24.822895,120.99701,Toucian River,1.00,9.0,1.2,6.0,0.15,8.51,30.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Rana sauteri,Zhangixalus taipeianus
Sichiuda Bridge,24.82509111111111,120.97929611111113,Toucian River,1.00,9.1,1.2,4.8,0.09,7.99,29.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus taipeianus,Silurus asotus
Wanfonda Bridge,24.66806,121.119079,Toucian River,1.00,9.3,<1.0,2.2,0.04,8.62,25.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Rana longicrus,Hynobius fucus
Paosan Reservoir water Intake,24.69001861111111,121.103045,Toucian River,1.00,9.0,<1.0,1.9,0.04,8.61,26.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Pelophylax fukienensis,Rana sauteri
Jhudongda Bridge,24.722675,121.10329388888889,Toucian River,1.00,9.7,<1.0,2.8,0.04,8.64,28.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus taipeianus,Rana longicrus
Neiwun Suspension Bridge,24.702031972222223,121.1832388888889,Toucian River,1.00,8.7,<1.0,1.5,0.02,8.67,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Pelophylax fukienensis,Zhangixalus taipeianus
Zhongzheng Bridge,24.768083333333333,120.98852777777778,Keya River,3.75,6.1,3.8,36.4,1.30,7.92,27.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Silurus asotus,Zhangixalus taipeianus,Pelophylax fukienensis
Chintsao Lake,24.775652777777776,120.96980555555557,Keya River,2.00,10.4,4.5,31.6,0.47,8.09,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Silurus asotus,Zhangixalus taipeianus
Keya River Bridge,24.796736111111112,120.9588138888889,Keya River,5.75,3.6,7.4,12.4,7.68,7.44,29.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus taipeianus,Silurus asotus
Siangya Bridge,24.80322805555556,120.92535694444445,Keya River,4.25,6.7,4.2,23.9,7.92,7.70,31.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus taipeianus,Pelophylax fukienensis
Sincheng Bridge,24.729906944444444,120.96438111111112,Yangang River,1.50,7.4,2.2,37.0,0.16,7.98,30.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus taipeianus,Rana sauteri
Jhongai Bridge,24.729975,120.91713397222225,Yangang River,1.00,6.9,2.2,15.2,0.16,7.68,30.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Silurus asotus,Rana longicrus,Zhangixalus taipeianus
Chenren Bridge,24.740821944444445,120.906295,Yangang River,3.25,7.6,3.2,39.2,1.45,7.80,30.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Silurus asotus,Zhangixalus taipeianus
