station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature,RPI_unit,DO(Electrode)_unit,BOD5_unit,SS_unit,NH3-N_unit,pH_unit,temperature_unit,,species1,species2,species3
Peishihchou Bridge,23.120303888888888,120.34538611111113,Zengwun River,3.25,7.0,<1.0,112,0.12,8.20,30.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Hylarana taipehensis,Pelophylax fukienensis
Zengwun River Bridge,23.155541944444444,120.33807388888889,Zengwun River,3.25,9.6,<1.0,159,0.19,7.93,30.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Pelophylax fukienensis,Hylarana taipehensis
Marsonda Bridge,23.171461111111118,120.26072888888888,Zengwun River,3.75,6.3,<1.0,424,0.10,8.09,30.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus arvalis,Hylarana taipehensis
Sigangda Bridge,23.10876888888889,120.20493611111112,Zengwun River,3.25,9.1,<1.0,620,0.14,7.92,30.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Micryletta steinegeri,Hylarana taipehensis
Guoshen Bridge,23.085799972222222,120.13482,Zengwun River,3.25,7.6,<1.0,133,0.33,7.70,30.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus arvalis,
Zengwun River Mouth,23.04448805555556,120.06263,Zengwun River,3.75,6.1,<1.0,154,0.21,7.98,30.7,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Yufonda Bridge,23.09706083333333,120.36989805555557,Zengwun River,3.25,6.7,<1.0,193,0.10,8.04,30.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus arvalis,Rana sauteri
Tonsin Bridge,23.05921638888889,120.36320555555557,Yanshuei River,1.50,7.0,<1.0,27.3,0.09,8.12,31.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Pelophylax fukienensis,Hylarana taipehensis
Chenniao Bridge,23.0723,120.35825,Yanshuei River,2.00,6.4,<1.0,22.2,0.09,8.30,31.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Pelophylax fukienensis,Zhangixalus arvalis
Fonhua Bridge,23.05908388888889,120.27777694444444,Yanshuei River,4.75,3.4,2.0,52.4,2.50,7.89,32.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Hylarana taipehensis,Zhangixalus arvalis
Yungan Bridge,23.05138888888889,120.2395,Yanshuei River,4.25,5.2,2.0,27.3,3.26,7.54,30.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Pelophylax fukienensis,Hylarana taipehensis
Taiping Bridge,23.02499111111111,120.21554611111112,Yanshuei River,5.00,2.2,1.9,24.9,4.77,7.40,31.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Hylarana taipehensis,Zhangixalus arvalis
Yanshuei River Bridge,23.019773055555557,120.19246805555557,Yanshuei River,6.00,1.4,2.4,25.1,3.14,7.43,30.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus arvalis,Pelophylax fukienensis
Erntsun Bridge,22.916728000000003,120.46046194444445,Erren River,3.25,7.1,2.1,1970,0.42,7.98,27.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,
Gootin Bridge,22.888018055555555,120.396335,Erren River,5.00,5.5,3.0,6020,1.06,8.16,27.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,
Chongdeda Bridge,22.875676944444447,120.36184694444444,Erren River,4.75,4.8,3.3,18200,0.56,7.94,27.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,
Nansyong Bridge,22.889388888888888,120.33819444444444,Erren River,4.25,4.8,2.9,10400,0.53,7.88,27.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,
Shihan Bridge,22.900694444444444,120.31019444444443,Erren River,5.00,3.9,3.0,8320,0.63,7.81,28.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,
Erntsuncin Bridge,22.9155,120.22608333333334,Erren River,5.75,3.4,2.3,2380,1.45,7.73,28.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus arvalis,Pelophylax fukienensis
Nandin Bridge,22.918726,120.184586,Erren River,7.00,4.3,7.0,17100,2.10,7.62,29.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Micryletta steinegeri,Hylarana taipehensis
Chenguo Village,22.998721111111116,120.25059997222222,Erren River,3.25,5.7,2.9,26.2,2.54,7.70,30.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Micryletta steinegeri,Zhangixalus arvalis
Wukon Bridge,22.927526111111117,120.22161305555557,Erren River,5.75,3.0,2.0,101,1.40,7.40,29.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Hylarana taipehensis,Micryletta steinegeri
Yunnin Bridge,22.92519194444445,120.19435694444444,Erren River,－,－,－,－,－,－,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Micryletta steinegeri,Pelophylax fukienensis
Agongdian River,22.80325,120.36121,Agongdian River,2.25,8.8,1.8,51.4,0.01,8.51,32.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,
High Speed Rail Bridge,22.80388888888889,120.32822,Agongdian River,4.00,2.7,1.2,40.3,1.18,7.59,33.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,
Agongdian Bridge,22.785304972222225,120.29710305555555,Agongdian River,3.75,5.6,3.2,29.8,2.22,7.70,32.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,
Cianchou Bridge,22.80293805555556,120.27987083333332,Agongdian River,7.25,1.0,9.3,23.8,7.47,7.68,32.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Geogon Bridge,22.800741972222223,120.23212694444445,Agongdian River,5.50,2.8,4.4,22.0,5.21,7.71,32.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Ligangda Bridge,22.79447888888889,120.50339111111111,Gaoping River,3.25,7.7,<1.0,1640,0.03,8.24,25.7,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Linko Bridge,22.77067111111111,120.45271,Gaoping River,3.25,7.9,<1.0,3620,0.03,8.14,25.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,
Gaopingda Bridge,22.64712611111111,120.43741111111112,Gaoping River,3.25,7.9,1.1,2560,0.37,8.15,25.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Wandada Bridge,22.593358888888886,120.439785,Gaoping River,3.25,7.5,<1.0,1550,0.07,8.14,25.9,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Shuangyuanda Bridge,22.49502777777778,120.41844444444445,Gaoping River,－,－,－,－,－,－,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Sinfada Bridge,23.04855888888889,120.66916,Gaoping River,3.25,8.0,<1.0,956,0.01,8.22,23.2,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Liougueida Bridge,22.99547111111111,120.63828,Gaoping River,3.25,8.0,<1.0,938,0.03,8.27,23.8,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Jiouru Bridge,22.724753055555556,120.48875611111112,Gaoping River,6.25,5.7,9.6,63.7,9.04,7.61,27.7,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Dagean Bridge,22.880076111111112,120.64812305555556,Gaoping River,3.25,7.8,<1.0,1390,0.03,8.24,24.5,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Beinoon Brideg,22.63027805555556,120.45802888888888,Gaoping River,3.50,3.9,2.8,7.9,2.86,7.35,29.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Jiasian Intake,23.083111111111112,120.58455555555555,Gaoping River,3.25,8.4,<1.0,709,0.02,8.41,24.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Micryletta steinegeri,
Yuemei Bridge,22.961101944444444,120.5217161111111,Gaoping River,3.25,8.3,1.0,1490,0.03,8.42,25.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Rana sauteri,
Sinciwei Bridge,22.87400805555556,120.487895,Gaoping River,3.25,7.8,<1.0,4520,0.08,8.32,26.3,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Simenda Bridge,22.898643888888888,120.535864,Gaoping River,2.25,6.9,<1.0,87.4,0.13,7.90,28.1,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Cinan Bridge,22.868449972222223,120.49660805555555,Gaoping River,2.25,7.2,<1.0,83.4,0.16,7.67,27.8,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Chengde Bridge,22.613611111111112,120.58869444444444,Donggang River,2.00,5.9,1.1,35.6,0.31,7.49,26.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Cyprinus carpio,
Longdon Bridge,22.602935,120.58295194444445,Donggang River,2.00,6.3,<1.0,45.7,0.24,7.47,26.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Cyprinus carpio,
Chaojhouda Bridge,22.56475,120.53966666666666,Donggang River,2.00,5.6,<1.0,29.8,0.43,7.59,28.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Cyprinus carpio,
Cinsheda Bridge,22.54219888888889,120.50416388888888,Donggang River,4.00,5.2,3.0,62.1,2.05,7.68,29.2,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Gangci Pomping Station,22.50452305555556,120.46200694444444,Donggang River,3.25,5.3,2.1,34.2,2.73,7.66,29.4,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Donggangda Bridge,22.47771694444444,120.459635,Donggang River,3.75,5.8,3.2,22.6,2.79,7.84,30.0,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Sinbeida Bridge,22.461196944444445,120.55042,Linbian River,3.25,8.2,<1.0,1570,0.04,8.32,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Linbianda Bridge,22.430816944444445,120.52326611111113,Linbian River,3.25,7.9,<1.0,3800,0.04,8.24,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Fangliuda Bridge,22.34329888888889,120.61175194444444,Shuaimang River,3.25,8.0,<1.0,436,<0.01,8.39,27.8,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Fangshan Bridge,22.25609888888889,120.65406694444444,Fangshan River,2.25,7.8,<1.0,87.1,<0.01,8.32,27.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Itun Suspension Bridge,22.21258333333333,120.76366666666668,Fonggang River,1.00,7.9,<1.0,5.8,<0.01,8.02,26.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Fongang Bridge,22.19586111111111,120.69116805555556,Fonggang River,1.00,7.8,<1.0,16.7,<0.01,8.32,27.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Shihmen,22.123527777777777,120.77275,Sihchong River,1.50,9.8,<1.0,31.6,0.02,8.20,26.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Micryletta steinegeri,
Erchongci,22.082791944444445,120.74083194444444,Sihchong River,1.50,10.5,<1.0,38.5,0.01,8.12,27.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Tridacna maxima,Zhangixalus aurantiventris,
Longluntan,21.988222222222223,120.73783333333331,Baoli River,－,－,－,－,－,－,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Tridacna squamosa,Zhangixalus aurantiventris
Linhia Bridge,22.05788888888889,120.711,Baoli River,2.75,5.8,<1.0,75.7,0.09,7.92,28.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Tridacna squamosa,Zhangixalus aurantiventris,Tridacna maxima
Gangkou Bridge,22.001496,120.819197,Gangkou River,1.00,7.7,<1.0,12.2,<0.01,8.19,29.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Tridacna squamosa,Tridacna maxima
Hichenda Bridge,21.988695,120.84102777777775,Gangkou River,1.50,8.0,<1.0,24.7,<0.01,8.26,29.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Tridacna squamosa,Tridacna maxima,Zhangixalus aurantiventris
Jhihben hotspring Bridge,22.695166666666665,121.02477777777776,Jhihben River,3.25,8.1,<1.0,642,0.05,8.02,26.8,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Jhihben Bridge,22.701395972222222,121.0396,Jhihben River,3.25,8.0,<1.0,1320,0.04,8.17,26.8,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Danan Bridge,22.76079194444445,121.049225,Lijiia River,3.25,8.1,<1.0,457,<0.01,8.32,26.6,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Fongyuanda Bridge,22.72346583333333,121.09519805555556,Lijiia River,3.25,7.8,<1.0,680,<0.01,8.34,28.5,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Dabaliugeoba Intake,22.813972222222223,121.05,Tai Pingsi,1.00,8.3,<1.0,7.2,<0.01,8.42,24.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Hynobius arisanensis,,
Malan Bridge,22.76598111111111,121.132595,Tai Pingsi,－,－,－,－,－,－,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Fonli Bridge,22.74644888888889,121.14232694444443,Tai Pingsi,10.00,0.5,88.0,137,4.39,7.92,30.4,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Taitungda Bridge,22.79223305555556,121.144475,Beinan River,3.25,8.2,1.0,6440,0.07,8.12,26.2,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Choulia Bridge,23.125638055555555,121.169128,Beinan River,3.75,8.2,4.4,15700,0.06,8.08,32.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,,
Lumin Bridge,22.891445,121.09419888888888,Beinan River,3.25,8.1,2.5,12600,0.09,8.12,24.5,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Yulida Bridge,23.322925,121.3277661111111,Siouguluan River,3.25,8.2,<1.0,1030,0.05,7.92,25.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,,
Taipingci Bridge,23.393678055555554,121.33362597222222,Siouguluan River,3.25,8.3,<1.0,235,0.04,8.15,24.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,,
Rueisueida Bridge,23.485399972222226,121.40401611111112,Siouguluan River,3.25,7.8,<1.0,866,0.08,7.99,26.0,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Wanlici Bridge,23.719596944444444,121.42623888888888,Hualien River,2.25,8.1,<1.0,85.0,0.10,8.22,26.4,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Fonpin Bridge,23.813225,121.45256797222224,Hualien River,3.25,8.1,<1.0,680,0.05,8.19,26.3,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Hualienda Bridge,23.923545833333336,121.59769888888889,Hualien River,3.25,7.5,<1.0,392,0.05,8.10,27.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,,
Sialousi Bridge,23.87859166666667,121.51874222222222,Hualien River,1.00,8.4,<1.0,7.0,0.03,8.46,27.4,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Mugua River Bridge,23.93169388888889,121.53858611111112,Hualien River,3.25,8.8,<1.0,700,0.06,8.18,22.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,,
Taichang Bridge,23.98333333333333,121.56958333333333,Jian River,1.00,8.7,<1.0,11.2,0.14,7.96,20.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,,
Renli Bridge,23.968777777777778,121.59444444444443,Jian River,1.00,8.7,1.4,11.0,0.22,7.90,24.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,,
Shueiwui Bridge,24.005785,121.54607388888888,Meilun River,1.00,8.2,<1.0,<1.0,0.04,8.29,24.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,,
Chiali No 2 Bridge,24.016897,121.6049461111111,Meilun River,1.00,8.6,1.5,9.4,0.31,8.04,29.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,,
Chiacin Village,24.009405,121.608395,Meilun River,1.00,7.3,2.3,13.9,0.49,7.92,29.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,,
Jhongjheng Bridge,23.980326111111108,121.61195388888888,Meilun River,1.00,7.1,1.1,9.8,0.33,7.82,28.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,,
Sanjhan Bridge,24.100662,121.608385,Sanjhan River,1.00,8.4,<1.0,3.2,0.04,8.36,25.4,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Podooda Bridge,24.18130888888889,121.49549583333334,Liwu River,2.25,8.5,<1.0,94.5,0.04,8.36,23.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,,
Geinwun Bridge,24.156348055555554,121.62174805555554,Liwu River,3.25,8.5,<1.0,369,0.04,8.18,24.2,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Dajhuoshuei Bridge,24.32484,121.74306388888888,Heping River,3.25,8.2,<1.0,1480,0.07,8.19,25.7,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Ginyang No 2,24.435946972222222,121.75844194444444,Nan-ao River,1.00,8.5,<1.0,<1.0,0.04,7.65,23.9,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Aowei Bridge,24.449141944444445,121.78002111111113,Nan-ao River,1.00,8.6,<1.0,12.6,0.03,8.21,24.3,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Nanao Bridge,24.46029194444444,121.78859888888888,Nan-ao River,1.50,8.4,<1.0,27.8,0.03,8.20,24.3,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Yunlali,24.573716944444445,121.84455888888888,Su-ao River,－,－,－,－,－,－,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Zhangixalus prasinatus,Rana longicrus
Bimei Bridge,24.59617,121.85372,Su-ao River,1.00,7.7,<1.0,2.8,0.02,7.26,25.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Zhangixalus prasinatus,Rana longicrus
Sincheng Bridge,24.61528805555556,121.81234194444444,Sincheng River,1.00,8.3,1.0,1.8,0.02,8.10,26.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Rana longicrus,Zhangixalus taipeianus
Longdeda Bridge,24.63236388888889,121.83156,Sincheng River,1.00,8.7,<1.0,1.2,0.04,8.53,26.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Rana longicrus,Zhangixalus taipeianus
Woolaokan,24.6035,121.81086,Sincheng River,1.00,8.1,1.5,2.1,0.04,8.10,25.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Rana longicrus,Zhangixalus taipeianus
Shrsanfen Bridge,24.631888888888888,121.773,Dongshan River,1.50,6.4,<1.0,14.2,0.15,7.38,25.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Cyprinus carpio,Zhangixalus taipeianus,Zhangixalus prasinatus
Dongshan River Bridge,24.63916305555556,121.78689,Dongshan River,1.50,5.4,1.2,5.7,0.36,7.68,26.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus taipeianus,Cyprinus carpio
Lidzugein Bridge,24.66989805555556,121.81411694444444,Dongshan River,2.00,5.8,3.0,18.0,0.57,7.55,28.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus taipeianus,Zhangixalus prasinatus
Cingshueida Gate,24.692006111111112,121.83297194444444,Dongshan River,2.00,7.2,3.6,28.8,0.50,7.93,29.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus prasinatus,Zhangixalus taipeianus
Lonbei,24.681098,121.605924,Lanyang River,1.00,8.3,<1.0,2.4,0.02,7.14,23.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Zhangixalus prasinatus,Rana sauteri
Shangshengo,24.704817,121.724819,Lanyang River,3.25,7.9,<1.0,145,0.03,8.27,25.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Zhangixalus prasinatus,Zhangixalus taipeianus
Lanyangda Bridge,24.71361111111111,121.772,Lanyang River,3.25,7.8,<1.0,582,0.03,8.20,25.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Rana longicrus,Cyprinus carpio
Sinlanda Bridge,24.713763,121.820112,Lanyang River,3.25,7.8,2.2,903,0.05,8.30,26.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Zhangixalus taipeianus,Rana longicrus
Neodao Bridge,24.642268,121.567251,Lanyang River,3.25,7.9,<1.0,300,0.02,8.29,24.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Hynobius fucus,Zhangixalus aurantiventris
Juan Bridge,24.84133333333333,121.82336111111113,Dezihkou River,2.50,5.5,1.4,43.2,0.80,7.70,28.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Rana longicrus,
Tetzekou Bridge,24.806361111111112,121.77241666666669,Dezihkou River,3.25,6.0,4.2,16.6,1.78,7.50,26.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus prasinatus,Zhangixalus taipeianus,Rana sauteri
Fusing Bridge,24.817713972222226,121.812895,Dezihkou River,4.00,5.2,2.3,79.9,1.35,7.46,28.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Rana longicrus,Zhangixalus prasinatus
Meichien Cottage,24.83145111111111,121.74705888888889,Dezihkou River,1.00,8.2,<1.0,3.8,0.02,7.98,24.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus taipeianus,Rana longicrus,Zhangixalus prasinatus
Sinliaoda Bridge,25.031796944444444,121.834769,Shuangsi,1.00,8.3,1.3,8.2,0.06,7.07,26.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Tridacna maxima,Zhangixalus taipeianus,Zhangixalus prasinatus
Gongliaoda Bridge,25.02071,121.9095288888889,Shuangsi,1.00,7.7,1.4,17.9,0.04,7.10,28.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Tridacna maxima,,
